participant,trial,item,type,freq,length,word_length,response,rt
1.0,94.0,110.0,filler,,medium,6.0,NO,211.36
1.0,18.0,111.0,filler,,medium,8.0,NO,192.65
1.0,55.0,112.0,filler,,medium,9.0,NO,269.53
1.0,3.0,113.0,filler,,long,11.0,NO,175.96
1.0,34.0,114.0,filler,,long,15.0,NO,254.93
1.0,6.0,115.0,filler,,long,11.0,NO,203.74
1.0,30.0,116.0,filler,,long,11.0,NO,198.64
1.0,24.0,117.0,filler,,long,14.0,NO,238.17
1.0,47.0,118.0,filler,,long,14.0,NO,234.26
1.0,105.0,119.0,filler,,short,4.0,NO,111.87
1.0,64.0,120.0,filler,,short,4.0,NO,239.9
1.0,9.0,121.0,filler,,short,5.0,NO,258.53
1.0,89.0,122.0,filler,,short,2.0,NO,270.65999999999997
1.0,70.0,123.0,filler,,short,4.0,NO,212.58
1.0,40.0,124.0,filler,,short,3.0,NO,259.65
1.0,68.0,125.0,filler,,medium,9.0,NO,196.52
1.0,17.0,126.0,filler,,medium,10.0,NO,202.81
1.0,74.0,127.0,filler,,medium,10.0,NO,240.27
1.0,16.0,128.0,filler,,medium,6.0,NO,257.15
1.0,2.0,129.0,filler,,medium,9.0,NO,331.61
1.0,86.0,130.0,filler,,medium,7.0,NO,400.15
1.0,72.0,131.0,filler,,long,16.0,NO,238.55
1.0,31.0,132.0,filler,,long,15.0,NO,274.59000000000003
1.0,21.0,133.0,filler,,long,16.0,NO,352.71
1.0,73.0,134.0,filler,,long,11.0,NO,314.5
1.0,43.0,135.0,filler,,long,12.0,NO,237.32
1.0,60.0,136.0,filler,,long,15.0,NO,413.83
1.0,56.0,137.0,filler,,short,3.0,NO,373.06
1.0,95.0,138.0,filler,,short,3.0,NO,191.32
1.0,66.0,139.0,filler,,short,4.0,NO,208.26
1.0,83.0,140.0,filler,,short,3.0,NO,205.38
1.0,10.0,141.0,filler,,short,2.0,NO,177.33
1.0,91.0,142.0,filler,,short,2.0,NO,297.79
1.0,65.0,143.0,filler,,medium,8.0,NO,136.57
1.0,23.0,144.0,filler,,medium,10.0,NO,141.63
1.0,4.0,145.0,filler,,medium,7.0,NO,119.73
1.0,38.0,146.0,filler,,medium,6.0,NO,195.5
1.0,19.0,147.0,filler,,medium,8.0,NO,353.99
1.0,12.0,148.0,filler,,medium,6.0,NO,211.14
1.0,1.0,149.0,filler,,long,13.0,NO,612.6600000000001
1.0,49.0,150.0,filler,,long,12.0,NO,265.38
1.0,35.0,151.0,filler,,long,13.0,NO,289.52
1.0,61.0,152.0,filler,,long,13.0,NO,221.02
1.0,52.0,153.0,filler,,long,13.0,NO,277.15
1.0,71.0,154.0,filler,,long,11.0,YES,1023.37
2.0,41.0,1.0,experimental,high,short,2.0,YES,164.01999999999998
2.0,64.0,2.0,experimental,high,short,4.0,YES,152.20999999999998
2.0,67.0,3.0,experimental,high,short,4.0,YES,188.96
2.0,66.0,4.0,experimental,high,short,5.0,YES,101.84
2.0,29.0,5.0,experimental,high,short,5.0,YES,219.85
2.0,88.0,6.0,experimental,high,short,3.0,YES,226.96
2.0,94.0,7.0,experimental,high,medium,8.0,YES,157.03
2.0,65.0,8.0,experimental,high,medium,8.0,YES,174.7
2.0,60.0,9.0,experimental,high,medium,9.0,YES,189.1
2.0,78.0,10.0,experimental,high,medium,10.0,YES,163.74
2.0,73.0,11.0,experimental,high,medium,7.0,YES,215.83
2.0,16.0,12.0,experimental,high,medium,9.0,YES,255.0
2.0,25.0,13.0,experimental,high,long,12.0,YES,186.93
2.0,104.0,14.0,experimental,high,long,15.0,YES,186.21
2.0,27.0,15.0,experimental,high,long,13.0,YES,222.67
2.0,69.0,16.0,experimental,high,long,16.0,YES,227.96
2.0,17.0,17.0,experimental,high,long,15.0,YES,285.41999999999996
2.0,89.0,18.0,experimental,high,long,12.0,YES,246.7
2.0,55.0,19.0,experimental,medium,short,3.0,YES,122.64
2.0,22.0,20.0,experimental,medium,short,4.0,YES,268.25
2.0,63.0,21.0,experimental,medium,short,2.0,YES,229.52
2.0,53.0,22.0,experimental,medium,short,3.0,YES,135.5
2.0,10.0,23.0,experimental,medium,short,5.0,YES,290.65
2.0,32.0,24.0,experimental,medium,short,4.0,YES,284.76
2.0,6.0,25.0,experimental,medium,medium,9.0,YES,125.03
2.0,14.0,26.0,experimental,medium,medium,8.0,YES,205.76
2.0,103.0,27.0,experimental,medium,medium,8.0,YES,206.26
2.0,91.0,28.0,experimental,medium,medium,7.0,YES,281.65999999999997
2.0,47.0,29.0,experimental,medium,medium,9.0,YES,226.9
2.0,48.0,30.0,experimental,medium,medium,8.0,YES,285.61
2.0,36.0,31.0,experimental,medium,long,14.0,YES,476.53
2.0,108.0,32.0,experimental,medium,long,14.0,YES,179.33
2.0,40.0,33.0,experimental,medium,long,15.0,YES,823.45
2.0,13.0,34.0,experimental,medium,long,13.0,YES,226.04
2.0,107.0,35.0,experimental,medium,long,15.0,YES,243.03
2.0,30.0,36.0,experimental,medium,long,14.0,YES,532.76
2.0,26.0,37.0,experimental,low,short,3.0,YES,235.56
2.0,71.0,38.0,experimental,low,short,3.0,YES,303.03
2.0,54.0,39.0,experimental,low,short,2.0,YES,261.58000000000004
2.0,102.0,40.0,experimental,low,short,5.0,YES,148.38
2.0,68.0,41.0,experimental,low,short,2.0,YES,398.78
2.0,44.0,42.0,experimental,low,short,5.0,YES,249.1
2.0,34.0,43.0,experimental,low,medium,10.0,YES,576.3
2.0,90.0,44.0,experimental,low,medium,7.0,YES,228.26
2.0,106.0,45.0,experimental,low,medium,9.0,YES,420.87
2.0,28.0,46.0,experimental,low,medium,7.0,YES,602.49
2.0,8.0,47.0,experimental,low,medium,6.0,YES,272.02
2.0,45.0,48.0,experimental,low,medium,6.0,YES,334.45
2.0,21.0,49.0,experimental,low,long,15.0,YES,325.77
2.0,2.0,50.0,experimental,low,long,12.0,YES,149.88
2.0,11.0,51.0,experimental,low,long,11.0,YES,489.94
2.0,86.0,52.0,experimental,low,long,13.0,YES,163.86
2.0,72.0,53.0,experimental,low,long,14.0,YES,151.76
2.0,50.0,54.0,experimental,low,long,14.0,YES,810.94
2.0,75.0,101.0,filler,,short,3.0,NO,185.08
2.0,20.0,102.0,filler,,short,3.0,NO,117.68
2.0,82.0,103.0,filler,,short,3.0,NO,118.02
2.0,3.0,104.0,filler,,short,2.0,NO,148.32
2.0,74.0,105.0,filler,,short,5.0,NO,217.92
2.0,56.0,106.0,filler,,short,4.0,NO,244.91
2.0,83.0,107.0,filler,,medium,7.0,NO,237.14
2.0,38.0,108.0,filler,,medium,8.0,NO,234.46
2.0,59.0,109.0,filler,,medium,7.0,NO,171.65
2.0,96.0,110.0,filler,,medium,9.0,NO,256.24
2.0,51.0,111.0,filler,,medium,7.0,NO,229.9
2.0,99.0,112.0,filler,,medium,6.0,NO,250.14
2.0,105.0,113.0,filler,,long,15.0,NO,240.42
2.0,49.0,114.0,filler,,long,15.0,NO,191.25
2.0,24.0,115.0,filler,,long,14.0,NO,222.06
2.0,92.0,116.0,filler,,long,14.0,NO,205.28
2.0,77.0,117.0,filler,,long,11.0,NO,226.62
2.0,98.0,118.0,filler,,long,15.0,NO,274.46000000000004
2.0,12.0,119.0,filler,,short,5.0,NO,207.62
2.0,35.0,120.0,filler,,short,5.0,NO,219.95
2.0,33.0,121.0,filler,,short,5.0,NO,136.23000000000002
2.0,95.0,122.0,filler,,short,4.0,NO,267.64
2.0,7.0,123.0,filler,,short,4.0,NO,194.0
2.0,101.0,124.0,filler,,short,4.0,NO,592.3
2.0,85.0,125.0,filler,,medium,6.0,NO,207.14
2.0,52.0,126.0,filler,,medium,6.0,NO,286.61
2.0,9.0,127.0,filler,,medium,7.0,NO,595.78
2.0,18.0,128.0,filler,,medium,9.0,NO,205.52
2.0,93.0,129.0,filler,,medium,6.0,NO,299.31
2.0,15.0,130.0,filler,,medium,8.0,NO,449.04
2.0,4.0,131.0,filler,,long,12.0,NO,213.17
2.0,57.0,132.0,filler,,long,15.0,NO,289.23
2.0,23.0,133.0,filler,,long,14.0,NO,190.69
2.0,100.0,134.0,filler,,long,15.0,NO,295.44
2.0,62.0,135.0,filler,,long,15.0,NO,520.36
2.0,70.0,136.0,filler,,long,12.0,NO,272.48
2.0,31.0,137.0,filler,,short,5.0,NO,270.09000000000003
2.0,81.0,138.0,filler,,short,5.0,NO,862.8299999999999
2.0,46.0,139.0,filler,,short,4.0,NO,246.25
2.0,5.0,140.0,filler,,short,4.0,NO,211.41
2.0,84.0,141.0,filler,,short,2.0,NO,264.48
2.0,97.0,142.0,filler,,short,3.0,NO,313.31
2.0,61.0,143.0,filler,,medium,8.0,NO,325.65
2.0,39.0,144.0,filler,,medium,7.0,NO,617.11
2.0,42.0,145.0,filler,,medium,9.0,NO,370.68
2.0,19.0,146.0,filler,,medium,10.0,NO,143.05
2.0,80.0,147.0,filler,,medium,8.0,NO,318.48
2.0,58.0,148.0,filler,,medium,7.0,NO,438.11
2.0,87.0,149.0,filler,,long,14.0,YES,83.99000000000001
2.0,79.0,150.0,filler,,long,11.0,NO,165.95999999999998
2.0,37.0,151.0,filler,,long,13.0,NO,208.39
2.0,43.0,152.0,filler,,long,14.0,NO,308.25
2.0,1.0,153.0,filler,,long,15.0,NO,401.96
2.0,76.0,154.0,filler,,long,13.0,NO,379.6
3.0,30.0,1.0,experimental,high,short,2.0,YES,167.51
3.0,63.0,2.0,experimental,high,short,4.0,YES,125.67
3.0,61.0,3.0,experimental,high,short,2.0,YES,187.31
3.0,80.0,4.0,experimental,high,short,3.0,YES,173.34
3.0,52.0,5.0,experimental,high,short,5.0,YES,194.66
3.0,38.0,6.0,experimental,high,short,2.0,YES,238.4
3.0,51.0,7.0,experimental,high,medium,9.0,YES,196.04
3.0,10.0,8.0,experimental,high,medium,8.0,YES,172.98
3.0,91.0,9.0,experimental,high,medium,6.0,YES,151.68
3.0,99.0,10.0,experimental,high,medium,8.0,YES,141.75
3.0,87.0,11.0,experimental,high,medium,8.0,YES,232.71
3.0,89.0,12.0,experimental,high,medium,7.0,YES,234.9
3.0,15.0,13.0,experimental,high,long,13.0,YES,230.43
3.0,103.0,14.0,experimental,high,long,15.0,YES,229.51
3.0,45.0,15.0,experimental,high,long,15.0,YES,169.57
3.0,37.0,16.0,experimental,high,long,13.0,YES,202.78
3.0,57.0,17.0,experimental,high,long,14.0,YES,209.49
3.0,88.0,18.0,experimental,high,long,14.0,YES,262.65999999999997
3.0,78.0,19.0,experimental,medium,short,3.0,YES,161.84
3.0,27.0,20.0,experimental,medium,short,5.0,YES,113.77
3.0,55.0,21.0,experimental,medium,short,4.0,YES,179.78
3.0,74.0,22.0,experimental,medium,short,5.0,YES,272.13
3.0,64.0,23.0,experimental,medium,short,4.0,YES,164.89
3.0,44.0,24.0,experimental,medium,short,2.0,YES,314.28
3.0,29.0,25.0,experimental,medium,medium,7.0,YES,198.97
3.0,14.0,26.0,experimental,medium,medium,7.0,YES,251.57
3.0,25.0,27.0,experimental,medium,medium,9.0,YES,270.23
3.0,101.0,28.0,experimental,medium,medium,9.0,YES,290.48
3.0,108.0,29.0,experimental,medium,medium,6.0,YES,205.46
3.0,65.0,30.0,experimental,medium,medium,9.0,YES,499.28999999999996
3.0,105.0,31.0,experimental,medium,long,16.0,YES,216.54
3.0,7.0,32.0,experimental,medium,long,14.0,YES,321.95
3.0,94.0,33.0,experimental,medium,long,12.0,YES,185.55
3.0,33.0,34.0,experimental,medium,long,13.0,YES,246.62
3.0,77.0,35.0,experimental,medium,long,16.0,YES,481.29
3.0,86.0,36.0,experimental,medium,long,15.0,YES,719.1600000000001
3.0,98.0,37.0,experimental,low,short,4.0,YES,212.33
3.0,71.0,38.0,experimental,low,short,5.0,YES,126.14
3.0,31.0,39.0,experimental,low,short,5.0,YES,122.34
3.0,100.0,40.0,experimental,low,short,4.0,YES,380.72
3.0,95.0,41.0,experimental,low,short,3.0,YES,151.70999999999998
3.0,24.0,42.0,experimental,low,short,3.0,YES,398.12
3.0,96.0,43.0,experimental,low,medium,9.0,YES,206.56
3.0,66.0,44.0,experimental,low,medium,7.0,YES,226.48
3.0,16.0,45.0,experimental,low,medium,7.0,YES,872.99
3.0,21.0,46.0,experimental,low,medium,6.0,YES,209.66
3.0,106.0,47.0,experimental,low,medium,9.0,YES,504.84
3.0,102.0,48.0,experimental,low,medium,8.0,YES,437.49
3.0,40.0,49.0,experimental,low,long,12.0,YES,113.14
3.0,97.0,50.0,experimental,low,long,13.0,YES,305.32
3.0,3.0,51.0,experimental,low,long,11.0,YES,340.05
3.0,92.0,52.0,experimental,low,long,14.0,YES,194.74
3.0,76.0,53.0,experimental,low,long,11.0,YES,201.14
3.0,72.0,54.0,experimental,low,long,14.0,YES,323.37
3.0,59.0,101.0,filler,,short,4.0,NO,183.99
3.0,36.0,102.0,filler,,short,4.0,NO,160.75
3.0,39.0,103.0,filler,,short,4.0,NO,125.68
3.0,68.0,104.0,filler,,short,4.0,NO,187.21
3.0,69.0,105.0,filler,,short,4.0,NO,201.17
3.0,79.0,106.0,filler,,short,3.0,NO,241.91
3.0,9.0,107.0,filler,,medium,6.0,NO,165.45
3.0,48.0,108.0,filler,,medium,8.0,NO,222.26
3.0,90.0,109.0,filler,,medium,7.0,NO,177.66
3.0,53.0,110.0,filler,,medium,9.0,NO,224.36
3.0,47.0,111.0,filler,,medium,9.0,NO,225.79
3.0,17.0,112.0,filler,,medium,8.0,NO,293.37
3.0,28.0,113.0,filler,,long,12.0,NO,234.58
3.0,8.0,114.0,filler,,long,13.0,NO,212.2
3.0,49.0,115.0,filler,,long,12.0,NO,222.24
3.0,41.0,116.0,filler,,long,13.0,NO,204.07
3.0,50.0,117.0,filler,,long,15.0,NO,281.73
3.0,12.0,118.0,filler,,long,11.0,NO,287.14
3.0,70.0,119.0,filler,,short,5.0,NO,171.89
3.0,60.0,120.0,filler,,short,3.0,NO,150.82
3.0,46.0,121.0,filler,,short,4.0,NO,196.15
3.0,19.0,122.0,filler,,short,3.0,NO,223.36
3.0,26.0,123.0,filler,,short,5.0,NO,181.58
3.0,75.0,124.0,filler,,short,5.0,NO,192.94
3.0,1.0,125.0,filler,,medium,6.0,NO,300.12
3.0,42.0,126.0,filler,,medium,7.0,NO,269.01
3.0,35.0,127.0,filler,,medium,6.0,NO,212.94
3.0,5.0,128.0,filler,,medium,9.0,NO,202.78
3.0,73.0,129.0,filler,,medium,7.0,NO,337.84
3.0,32.0,130.0,filler,,medium,7.0,NO,829.22
3.0,104.0,131.0,filler,,long,14.0,NO,194.53
3.0,62.0,132.0,filler,,long,14.0,NO,292.69
3.0,6.0,133.0,filler,,long,13.0,NO,173.52
3.0,54.0,134.0,filler,,long,14.0,NO,210.13
3.0,81.0,135.0,filler,,long,12.0,NO,263.15999999999997
3.0,2.0,136.0,filler,,long,14.0,NO,400.41
3.0,20.0,137.0,filler,,short,4.0,NO,178.63
3.0,34.0,138.0,filler,,short,4.0,NO,181.26
3.0,11.0,139.0,filler,,short,2.0,NO,274.08000000000004
3.0,58.0,140.0,filler,,short,4.0,NO,213.99
3.0,67.0,141.0,filler,,short,4.0,NO,399.62
3.0,4.0,142.0,filler,,short,2.0,NO,252.92
3.0,13.0,143.0,filler,,medium,10.0,NO,162.51999999999998
3.0,43.0,144.0,filler,,medium,7.0,NO,299.75
3.0,22.0,145.0,filler,,medium,9.0,NO,208.11
3.0,18.0,146.0,filler,,medium,8.0,NO,108.61
3.0,23.0,147.0,filler,,medium,8.0,NO,203.12
3.0,84.0,148.0,filler,,medium,8.0,NO,806.01
3.0,83.0,149.0,filler,,long,12.0,NO,269.89
3.0,56.0,150.0,filler,,long,16.0,NO,152.26
3.0,93.0,151.0,filler,,long,12.0,NO,295.12
3.0,85.0,152.0,filler,,long,12.0,NO,384.79
3.0,82.0,153.0,filler,,long,15.0,NO,323.47
3.0,107.0,154.0,filler,,long,14.0,NO,189.36
4.0,65.0,1.0,experimental,high,short,3.0,YES,134.38
4.0,6.0,2.0,experimental,high,short,3.0,YES,128.66
4.0,32.0,3.0,experimental,high,short,4.0,YES,111.49
4.0,75.0,4.0,experimental,high,short,4.0,YES,142.39
4.0,81.0,5.0,experimental,high,short,2.0,YES,120.46
4.0,55.0,6.0,experimental,high,short,4.0,YES,210.37
4.0,4.0,7.0,experimental,high,medium,10.0,YES,200.96
4.0,30.0,8.0,experimental,high,medium,9.0,YES,197.92
4.0,70.0,9.0,experimental,high,medium,7.0,YES,131.26999999999998
4.0,73.0,10.0,experimental,high,medium,6.0,YES,148.42000000000002
4.0,88.0,11.0,experimental,high,medium,8.0,YES,187.01
4.0,31.0,12.0,experimental,high,medium,8.0,YES,202.48
4.0,98.0,13.0,experimental,high,long,16.0,YES,224.21
4.0,15.0,14.0,experimental,high,long,11.0,YES,161.84
4.0,108.0,15.0,experimental,high,long,13.0,YES,183.9
4.0,57.0,16.0,experimental,high,long,12.0,YES,217.46
4.0,94.0,17.0,experimental,high,long,14.0,YES,254.85
4.0,46.0,18.0,experimental,high,long,14.0,YES,313.36
4.0,69.0,19.0,experimental,medium,short,3.0,YES,111.45
4.0,101.0,20.0,experimental,medium,short,5.0,YES,121.76
4.0,62.0,21.0,experimental,medium,short,4.0,YES,179.0
4.0,107.0,22.0,experimental,medium,short,4.0,YES,133.64
4.0,52.0,23.0,experimental,medium,short,5.0,YES,188.4
4.0,105.0,24.0,experimental,medium,short,5.0,YES,310.03
4.0,43.0,25.0,experimental,medium,medium,7.0,YES,210.18
4.0,37.0,26.0,experimental,medium,medium,10.0,YES,117.27
4.0,89.0,27.0,experimental,medium,medium,6.0,YES,212.37
4.0,90.0,28.0,experimental,medium,medium,7.0,YES,176.34
4.0,96.0,29.0,experimental,medium,medium,8.0,YES,205.64
4.0,24.0,30.0,experimental,medium,medium,9.0,YES,320.64
4.0,85.0,31.0,experimental,medium,long,14.0,YES,307.5
4.0,2.0,32.0,experimental,medium,long,14.0,YES,312.7
4.0,76.0,33.0,experimental,medium,long,16.0,YES,339.39
4.0,92.0,34.0,experimental,medium,long,11.0,YES,363.39
4.0,44.0,35.0,experimental,medium,long,11.0,YES,197.55
4.0,91.0,36.0,experimental,medium,long,11.0,YES,740.69
4.0,99.0,37.0,experimental,low,short,3.0,YES,359.91
4.0,39.0,38.0,experimental,low,short,3.0,YES,128.56
4.0,42.0,39.0,experimental,low,short,5.0,YES,561.99
4.0,56.0,40.0,experimental,low,short,5.0,YES,111.05
4.0,71.0,41.0,experimental,low,short,4.0,YES,335.29
4.0,22.0,42.0,experimental,low,short,3.0,YES,408.29
4.0,54.0,43.0,experimental,low,medium,9.0,YES,158.07999999999998
4.0,12.0,44.0,experimental,low,medium,8.0,YES,376.83
4.0,18.0,45.0,experimental,low,medium,7.0,YES,235.67
4.0,8.0,46.0,experimental,low,medium,8.0,YES,261.88
4.0,10.0,47.0,experimental,low,medium,7.0,YES,263.62
4.0,17.0,48.0,experimental,low,medium,7.0,YES,1033.72
4.0,59.0,49.0,experimental,low,long,14.0,YES,489.1600000000001
4.0,51.0,50.0,experimental,low,long,12.0,YES,281.09000000000003
4.0,20.0,51.0,experimental,low,long,14.0,YES,538.3299999999999
4.0,61.0,52.0,experimental,low,long,14.0,YES,687.1700000000001
4.0,95.0,53.0,experimental,low,long,15.0,YES,239.15
4.0,25.0,54.0,experimental,low,long,14.0,YES,456.38
4.0,38.0,101.0,filler,,short,3.0,NO,111.45
4.0,11.0,102.0,filler,,short,2.0,NO,163.5
4.0,14.0,103.0,filler,,short,4.0,NO,145.28
4.0,66.0,104.0,filler,,short,3.0,NO,129.28
4.0,106.0,105.0,filler,,short,3.0,NO,148.61
4.0,58.0,106.0,filler,,short,3.0,NO,189.39
4.0,72.0,107.0,filler,,medium,7.0,NO,211.76
4.0,60.0,108.0,filler,,medium,9.0,NO,221.88
4.0,97.0,109.0,filler,,medium,7.0,NO,231.5
4.0,80.0,110.0,filler,,medium,10.0,NO,229.95
4.0,13.0,111.0,filler,,medium,7.0,NO,279.95
4.0,50.0,112.0,filler,,medium,10.0,NO,270.03
4.0,21.0,113.0,filler,,long,15.0,NO,160.31
4.0,104.0,114.0,filler,,long,15.0,NO,242.33
4.0,78.0,115.0,filler,,long,14.0,NO,176.91
4.0,63.0,116.0,filler,,long,13.0,NO,195.74
4.0,35.0,117.0,filler,,long,12.0,NO,221.0
4.0,29.0,118.0,filler,,long,15.0,NO,306.76
4.0,9.0,119.0,filler,,short,2.0,NO,103.57
4.0,47.0,120.0,filler,,short,2.0,NO,253.86
4.0,68.0,121.0,filler,,short,3.0,NO,147.26999999999998
4.0,83.0,122.0,filler,,short,3.0,NO,218.44
4.0,33.0,123.0,filler,,short,5.0,NO,285.68
4.0,36.0,124.0,filler,,short,4.0,NO,222.55
4.0,45.0,125.0,filler,,medium,7.0,NO,284.15
4.0,53.0,126.0,filler,,medium,10.0,NO,545.15
4.0,64.0,127.0,filler,,medium,9.0,NO,229.14
4.0,84.0,128.0,filler,,medium,8.0,NO,431.76
4.0,102.0,129.0,filler,,medium,7.0,NO,227.02
4.0,16.0,130.0,filler,,medium,7.0,NO,412.11
4.0,27.0,131.0,filler,,long,14.0,NO,273.52
4.0,86.0,132.0,filler,,long,15.0,NO,327.15
4.0,77.0,133.0,filler,,long,14.0,NO,233.03
4.0,5.0,134.0,filler,,long,12.0,NO,286.62
4.0,28.0,135.0,filler,,long,11.0,NO,320.04
4.0,48.0,136.0,filler,,long,14.0,NO,370.54
4.0,41.0,137.0,filler,,short,5.0,NO,779.5699999999999
4.0,1.0,138.0,filler,,short,3.0,YES,905.0899999999999
4.0,3.0,139.0,filler,,short,3.0,NO,354.87
4.0,7.0,140.0,filler,,short,4.0,NO,211.69
4.0,23.0,141.0,filler,,short,2.0,NO,250.65
4.0,82.0,142.0,filler,,short,4.0,NO,619.74
4.0,34.0,143.0,filler,,medium,6.0,NO,239.53
4.0,100.0,144.0,filler,,medium,7.0,NO,176.88
4.0,74.0,145.0,filler,,medium,7.0,NO,134.61
4.0,87.0,146.0,filler,,medium,10.0,NO,296.92
4.0,93.0,147.0,filler,,medium,8.0,NO,668.79
4.0,103.0,148.0,filler,,medium,9.0,NO,579.81
4.0,67.0,149.0,filler,,long,15.0,NO,92.87
4.0,26.0,150.0,filler,,long,14.0,NO,112.07
4.0,79.0,151.0,filler,,long,15.0,NO,212.38
4.0,19.0,152.0,filler,,long,15.0,NO,242.84
4.0,49.0,153.0,filler,,long,16.0,NO,140.76
4.0,40.0,154.0,filler,,long,15.0,NO,277.05
5.0,18.0,1.0,experimental,high,short,2.0,YES,164.94
5.0,77.0,2.0,experimental,high,short,3.0,YES,180.83
5.0,48.0,3.0,experimental,high,short,4.0,YES,146.86
5.0,61.0,4.0,experimental,high,short,4.0,YES,136.05
5.0,56.0,5.0,experimental,high,short,2.0,YES,196.52
5.0,10.0,6.0,experimental,high,short,2.0,YES,195.7
5.0,104.0,7.0,experimental,high,medium,6.0,YES,151.47
5.0,6.0,8.0,experimental,high,medium,7.0,YES,152.95
5.0,17.0,9.0,experimental,high,medium,9.0,YES,191.36
5.0,30.0,10.0,experimental,high,medium,9.0,YES,164.26
5.0,88.0,11.0,experimental,high,medium,8.0,YES,236.01
5.0,26.0,12.0,experimental,high,medium,9.0,YES,197.05
5.0,27.0,13.0,experimental,high,long,14.0,YES,192.99
5.0,19.0,14.0,experimental,high,long,16.0,YES,166.5
5.0,86.0,15.0,experimental,high,long,16.0,YES,240.83
5.0,101.0,16.0,experimental,high,long,11.0,YES,229.72
5.0,53.0,17.0,experimental,high,long,12.0,YES,210.38
5.0,11.0,18.0,experimental,high,long,16.0,YES,301.49
5.0,96.0,19.0,experimental,medium,short,5.0,YES,270.69
5.0,29.0,20.0,experimental,medium,short,5.0,YES,244.1
